,fixed w,fixed w ppl,fixed w all parameters
0,0.0188695,18.783,"[1, 1732.72869, 0.01887]"
1,0.0217725,12.216,"[1, 1688.89145, 0.02177]"
2,0.0246755,8.163,"[1, 1655.92653, 0.02468]"
3,0.02903,6.044,"[1, 1619.67415, 0.02903]"
4,0.02903,6.044,"[1, 1619.67415, 0.02903]"
5,0.0333845,7.905,"[1, 1593.77468, 0.03338]"
6,0.0362875,11.025,"[1, 1580.35679, 0.03629]"
7,0.0391905,15.467,"[1, 1569.21585, 0.03919]"
8,0.042093500000000006,21.103,"[1, 1559.87101, 0.04209]"
