,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
11,1,12.471203565725789,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",315483.9359,"[0.0828833338553054, 0.16389653309547605, 0.26370773404875353, 0.3897964539243659, 0.5543369147113525, 0.7789630821955625, 0.9115975080229982, 1.0]"
12,1,265008.0722579072,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.1787,"[4.252947776060175e-06, 0.08833854837521776, 0.19716960818353596, 0.3346528688611156, 0.5140627180651011, 0.7589881527685958, 0.9036086493868118, 1.0]"
13,1,26.349518924946956,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",75907.6468,"[0.04101929321432156, 0.125730537588213, 0.23009786917823927, 0.36194222673321, 0.533993528007429, 0.7688732875875031, 0.907562163378882, 1.0]"
14,1,17800.60915305509,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",41.3797,"[6.331237885389616e-05, 0.08839239068511966, 0.19721702009190845, 0.334692164237968, 0.5140914050474277, 0.7590023866812144, 0.9036143286977187, 1.0]"
15,1,1025.932898698875,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",27.6871,"[0.0010973753301062798, 0.08933510982551283, 0.19804720157850333, 0.3353801750891487, 0.5145938974272085, 0.7592516106241853, 0.9037140158002542, 1.0]"
16,1,478716.3594315555,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.3062,"[2.3543536758034997e-06, 0.08833681601468803, 0.197168082013622, 0.3346516110130265, 0.514061781700309, 0.7589876981259435, 0.9036084477505402, 1.0]"
17,1,34.780171398516934,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",43968.9925,"[0.03138838379749081, 0.11695037260606182, 0.22236584950323157, 0.35553430816373877, 0.5293134967411521, 0.7665521448785952, 0.906633814222435, 1.0]"
18,1,996702.8267523068,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.3886,"[1.1307974260186657e-06, 0.08833570046429437, 0.1971670982194863, 0.334650789349554, 0.5140611939232328, 0.7589873937429265, 0.9036083148870389, 1.0]"
19,1,80.94916355754997,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",7930.917,"[0.013731993024984563, 0.10085364969204018, 0.20819069453868916, 0.34378661948621114, 0.5207335614484063, 0.7622967113627286, 0.9049318751639172, 1.0]"
20,1,242890.54588250612,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.1527,"[4.640217884902579e-06, 0.08833890236728519, 0.197169919097608, 0.3346531300952013, 0.5140629061772962, 0.7589882464313071, 0.9036086867263647, 1.0]"
