,pem evaluation data1,pem evaluation data2,pem evaluation data3
0,0.11095235643059516,0.09400851161985586,0.21814779042284527
1,0.7800790592288807,0.8063490351919579,0.8158463374466642
2,1.2385643165743625,1.2300049106484852,1.2197419815949648
3,1.397666682548087,1.3957131084484475,1.3279142046498096
4,1.4727375852180746,1.4739244340912532,1.4183496858857165
5,0.1115092038270595,0.0971194226042,0.21653775830947755
6,0.11266774780660639,0.0966521004483901,0.2247053189035661
7,0.9920095220406393,0.9390206060746156,1.0050881666080074
8,1.5185272001653392,1.5178209218858503,1.4835824777230906
9,1.945668979461339,1.7424940294060653,1.713234699294974
10,1.9957611228404037,1.8877284837710668,1.8419165405108249
11,2.3255962185136183,1.8152889912050414,1.7679931066095789
12,0.11265422068225675,0.09101033351630416,0.22469524901761911
13,0.11401380728814496,0.09836959271856878,0.25518850806005106
14,1.1350767604624339,1.1283074695816264,1.3094920192959674
15,1.6374677901866217,1.9994995839361709,1.9257907546339095
16,1.993755690342095,2.1915349426397155,2.2569798042760887
17,2.228693928735999,2.314972283256076,2.364737722767616
18,2.3720448352699317,2.266835985357878,2.544931233732122
19,0.11511675780505604,0.09716879560399427,0.25657822086405335
