,t_HAF,k_txn2,k_dHAF,k_bHS,k_bHH,k_txnH,k_dH1R,k_dH1P,k_dHP,k_txnBH,x,exp_data,exp_error,dataID,weight_by_error,parameter_labels,chi_sq,normalized solutions
0,0.0,1.0,0.0,0.0,0.9062594747742193,0.004200329335794454,0.1340984609810363,0.0105436977123893,0.42440882298604377,2.269830294126355,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.2384839311236864,"[0.11230589169116348, 0.8035769513128143, 1.1977097628644318, 1.3942168469201517, 1.4921905472114396, 0.11230589169116348, 0.11393121245760594, 1.0668830765983452, 1.6178725430918166, 1.8925857859161737, 2.029551200701632, 2.0978387261564593, 0.11393121245760594, 0.11665157408619546, 1.1309228267689277, 1.754182662241739, 2.0649738584044464, 2.219926756204054, 2.297182512826344, 0.11665157408619546]"
1,0.0,1.0,0.0,0.0,1.2247812494064096,222.8087518689208,0.09897199919005199,0.00034045678579692335,0.15196068702987064,2.9456841913691085,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.2391216234378302,"[0.21615320202290375, 0.8276474392286466, 1.1746445097803553, 1.3476494111658257, 1.433905437802268, 0.21615320202290375, 0.2252319080365903, 1.0617994541083737, 1.5338288146224135, 1.7691718333102049, 1.8865081372161374, 1.945009157850808, 0.2252319080365903, 0.25531607856250516, 1.3077863490843664, 1.9277195943304843, 2.23680321576305, 2.390904793450527, 2.467736084469367, 0.25531607856250516]"
2,0.0,1.0,0.0,0.0,0.11141713824698443,189.04016687071018,2.280596516144291,2.115998268714129,0.4930406219419161,16.70281353876314,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.3326930994856027,"[0.18034740909499025, 0.8230376223358822, 1.1828072620057093, 1.3621867357856416, 1.4516209707777759, 0.18034740909499025, 0.1908586002971157, 1.0070342950167153, 1.4588532693949088, 1.6841270225868248, 1.796443012798083, 1.8524410355619847, 0.1908586002971157, 0.1851366599716332, 1.271961866863551, 2.0059634432782034, 2.373996662434837, 2.5575106289627794, 2.6490064141155902, 0.1851366599716332]"
3,0.0,1.0,0.0,0.0,0.5328894885915569,199.71356900695753,0.26058228453893234,0.019735763463309148,0.044493112924557675,3.1465295901206796,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.5408641243583293,"[0.31945547263689733, 0.84747376416267, 1.151460774655382, 1.303022505526889, 1.3785874830181621, 0.31945547263689733, 0.3493801399960855, 1.106112795144337, 1.5402908825362676, 1.7567629747505311, 1.8646906883330903, 1.9185008223492022, 0.3493801399960855, 0.3997880837147863, 1.3185697336294953, 1.878681926631136, 2.1579442552194945, 2.297177645530535, 2.3665960203284593, 0.3997880837147863]"
4,0.0,1.0,0.0,0.0,38.29830388375848,0.009102578608698585,10.925277851600246,0.000956784687582434,3.5568460788842997,1.8033822423144306,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.6956461797326761,"[0.22387771047548408, 0.8257000788617427, 1.1727126994410688, 1.3457249081573346, 1.4319846030643701, 0.22387771047548408, 0.22418223048574823, 0.8460139863972898, 1.2046237470990078, 1.3834180206301996, 1.4725604941328918, 1.517004761685827, 0.22418223048574823, 0.25600420209975194, 1.2288289427602135, 1.79613048049023, 2.0789731290899693, 2.2199915984625007, 2.290299973687607, 0.25600420209975194]"
5,0.0,1.0,0.0,0.0,0.7739019962888632,0.0015804644972174978,2.356861884112673,0.0007043096695414716,4.215264726807676,7.456182393168922,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.8304656292868859,"[0.08099900383750323, 0.7935398617845957, 1.2044981776330315, 1.4094015579726442, 1.5115613987722252, 0.08099900383750323, 0.08138513428338177, 0.8743510396537637, 1.3326921781795378, 1.561220720339055, 1.6751594913275556, 1.731966587437774, 0.08138513428338177, 0.08190441091045812, 0.9642647782188022, 1.5030960876150317, 1.771865376536178, 1.9058673161808173, 1.9726774712920467, 0.08190441091045812]"
6,0.0,1.0,0.0,0.0,0.10767916147625237,209.98902548816775,54.6072159923989,5.5740945716278765e-05,3.516509952313428,57.4711160333729,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",0.8405152727977796,"[0.15221778377608808, 0.8135994063508896, 1.188884372380004, 1.376002865666816, 1.4692955718262024, 0.15221778377608808, 0.15481620325019374, 0.8672400544948217, 1.2692812249183474, 1.469739945867483, 1.5696837759082745, 1.6195133489433158, 0.15481620325019374, 0.1539052645329006, 1.0210133528109888, 1.5548418022310626, 1.8212464379006734, 1.9540698183837997, 2.020292369206483, 0.1539052645329006]"
7,0.0,1.0,0.0,0.0,1.6475026798633032,0.002869842837195192,0.00010546835349270868,0.6806086510747785,0.1960968528433483,0.825946550955055,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",1.0111198945283493,"[0.1898519074991827, 0.8190219372576769, 1.1803400654285325, 1.3604850772245798, 1.4503010125900282, 0.1898519074991827, 0.19194213604765348, 0.9400887783188152, 1.3736548827164963, 1.589821133990818, 1.6975963614971776, 1.751330466385213, 0.19194213604765348, 0.1991479391828667, 1.0042701475037674, 1.4825732773949931, 1.7210463583738775, 1.8399432207744364, 1.899222322956378, 0.1991479391828667]"
8,0.0,1.0,0.0,0.0,5.0970306556801015,0.009312006449287289,0.0008181018984456449,0.006831032752702874,5.005405724479505,1.6853292164838363,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",1.243902145255353,"[0.0979532669456983, 0.7904492472943498, 1.200328635225321, 1.4046896699177798, 1.5065791806168511, 0.0979532669456983, 0.09804181171887348, 0.8044235266837033, 1.2226538084981884, 1.431178474896624, 1.5351437958580327, 1.5869783822774353, 0.09804181171887348, 0.0993037527035696, 0.944103922520673, 1.4664763252210355, 1.7269655333513094, 1.8568391187077067, 1.9215909325218046, 0.0993037527035696]"
9,0.0,1.0,0.0,0.0,0.2035325644653158,572.7614708220362,28.263319032563672,2.8440885532860743e-05,5.169573998499628,30.82499916438017,"[6.6, 138.0]","[0.09400851 0.80634904 1.23000491 1.39571311 1.47392443 0.09711942
 0.0966521  0.93902061 1.51782092 1.74249403 1.88772848 1.81528899
 0.09101033 0.09836959 1.12830747 1.99949958 2.19153494 2.31497228
 2.26683599 0.0971688 ]","[0.001597254, 0.028900062, 0.06262351, 0.041363395, 0.034096022, 0.001875823, 0.001931056, 0.133806646, 0.126221831, 0.293177079, 0.110612379, 0.195402763, 0.005887058, 0.001584752, 0.02233973, 0.215544881, 0.079719995, 0.106426454, 0.21939885, 0.001540545]",hypoxia_only,no,"['t_HAF', 'k_txn2', 'k_dHAF', 'k_bHS', 'k_bHH', 'k_txnH', 'k_dH1R', 'k_dH1P', 'k_dHP', 'k_txnBH']",1.365234499406559,"[0.12251764668163945, 0.7977859034965666, 1.1949624753000738, 1.3929989316496458, 1.4917350428720746, 0.12251764668163945, 0.12323416699948925, 0.8122940037800295, 1.216639925825765, 1.4182508756275503, 1.5187691472014657, 1.568885165794763, 0.12323416699948925, 0.12350389381758982, 0.9418851355364453, 1.4499664940901498, 1.703415112105765, 1.8297785791983547, 1.8927803269196963, 0.12350389381758982]"
