,e,b,k_bind,m,km,n,x,exp_data,exp_error,dataID,weight_by_error,parameter_labels,chi_sq,normalized solutions
0,15.570410289531047,1,1,1097.8852782561667,244.48547232586068,1.4835626038755096,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",69.33323004861805,"[0.01242469020341233, 0.022302774237488974, 0.033658239896834266, 0.05767810704064901, 0.10550096587501716, 0.18954682446395826, 0.3394498601816303, 0.6149517379847943, 0.9940417934546214, 0.9985291997859046, 1.0, 0.04777595621607728, 0.0800194303591214, 0.1730084582049567, 0.39585710129496143, 1.0, 0.959628982856725, 0.8361695642027408, 0.6013806386117408, 0.047775956290467936, 0.08001857335598715, 0.17300209202839784, 0.393299903120626, 0.3921159941000833, 0.36876985737497686, 0.318311176927241, 0.22805951980891184]"
1,13.997102097068142,1,1,10945.931674706375,118.61394300006297,1.8761288993632816,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",129.24461559889247,"[0.0005967908726824796, 0.004674662197657424, 0.0114685940622922, 0.029109675402454994, 0.07039544381953537, 0.1450855785055303, 0.2777106660410441, 0.5200513766989368, 0.9557412210938488, 0.9980465012390545, 1.0, 0.003418540354274722, 0.01728465202881603, 0.08059739255010638, 0.2845392600254493, 1.0, 0.9313656100888728, 0.6664990762048861, 0.30165049580547926, 0.003418540359597639, 0.01728413554839184, 0.08059187673847594, 0.28178752309322275, 0.2815381266531907, 0.2489175402720216, 0.17194485372403362, 0.07777851067617214]"
2,18.528915275198205,1,1,66.98589268187366,52.69977257584502,1.972076624318069,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",160.63643803987097,"[0.021529931979121442, 0.02862196954575064, 0.041544793200929415, 0.07281184421342408, 0.13047498950824962, 0.2311296421683623, 0.4124036558427229, 0.7506831253738805, 0.997332595748806, 0.9991390162148109, 1.0, 0.1323461462334309, 0.14317157294275523, 0.19770933249831085, 0.381051243889852, 1.0, 0.760156385648738, 0.3161161141427135, 0.08701529033978654, 0.13234614643950351, 0.14317125254867533, 0.1977056560463837, 0.3788932893572224, 0.36455565920543154, 0.23423135238772713, 0.0955066162151232, 0.028616333826612154]"
3,8.63944690321986,1,1,2472.134371283869,40.290550611341075,1.009790380649677,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",167.56284341170138,"[0.00045224332822676295, 0.015093790509441964, 0.02504036074796243, 0.04161339082931659, 0.06952638807143789, 0.11637274770910555, 0.19723386105661536, 0.33970725940086, 0.5988673479384028, 0.9848311755335493, 1.0, 0.0016735586253817606, 0.1437188695009782, 0.3353227306455886, 0.6038944475432272, 1.0, 0.662769733383997, 0.42046017935327556, 0.24199886224601957, 0.0016735586279876136, 0.1437141907449439, 0.33530161910601475, 0.5997947172518994, 0.5008202540363417, 0.32920627036529404, 0.2087930094773441, 0.1202011032229325]"
4,18.810187953508976,1,1,709881.0293031717,594.4735560199649,1.4202020864978453,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",189.58601791331836,"[6.211915152677491e-05, 0.014674811092412565, 0.03037288057126838, 0.06244771370512653, 0.12239135557095727, 0.22749098144650937, 0.41710472634118234, 0.7673216567527473, 0.9962506890194036, 0.9987727670072367, 1.0, 0.00023017239003100134, 0.038720087098552236, 0.1415210802918134, 0.37758022733945446, 1.0, 0.9893440782230732, 0.9457909665241897, 0.8394164899300168, 0.00023017239038939657, 0.03871927670426597, 0.1415153959245501, 0.375159296370413, 0.37635176509405033, 0.36896393005532496, 0.3515905353804253, 0.31110776153682085]"
5,19.70621887145392,1,1,2140.189750558,1259.3196560731005,1.077407464917574,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",233.2798731777795,"[0.019767851138709453, 0.04849534793923648, 0.06969623530720775, 0.10620627495936957, 0.16957725591267617, 0.280479965619785, 0.4803483782841844, 0.8369121301834892, 0.997375503545219, 0.9991143387817725, 1.0, 0.051955050523143385, 0.13244685096429373, 0.2676034157840506, 0.5056401265196457, 1.0, 0.9848402341188126, 0.9520635868649585, 0.8887931537864366, 0.051955050604041195, 0.1324456170992246, 0.2675971158457072, 0.5034798197730334, 0.5027447644303186, 0.4930244449708544, 0.47644184144265667, 0.4446997039862418]"
6,26.836496160290984,1,1,8541.195290003005,53.0397279653103,1.6283675559228665,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",239.50490338235284,"[0.00017350071541017374, 0.021227374146839378, 0.04887672290370092, 0.09983799821271622, 0.18859223568203054, 0.3464727769777031, 0.6386803977390283, 0.996125585414149, 0.9985782247529906, 0.9994632014174912, 1.0, 0.000906906697324843, 0.029633949036163346, 0.12636739373062328, 0.37105719049019176, 1.0, 0.7411677000313518, 0.36511541801176606, 0.132945821322841, 0.000906906698736963, 0.02963346767087132, 0.12636345034921598, 0.36893102143818096, 0.3475705646872852, 0.22548966127901587, 0.10857822942979023, 0.04050968186279201]"
7,16.641000036168798,1,1,19.75004260011955,14.28752540864267,1.098508492671875,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",264.30618212889584,"[0.018134782148611927, 0.041826044263475845, 0.06009863281963717, 0.09170703952310551, 0.14520691074422282, 0.23771878453420428, 0.4026894422872314, 0.7025879787372384, 0.9974692162313107, 0.9992937807971599, 1.0, 0.11285819557348255, 0.2734359753085602, 0.48205469434918236, 0.7269777140489687, 1.0, 0.5155748126724031, 0.2660398135923886, 0.12970754824132544, 0.11285819574921101, 0.27343309003878, 0.4820431918168017, 0.7241954612767242, 0.5128721866278534, 0.2501889928937781, 0.1292048210746588, 0.06344151036926564]"
8,35.61752535519373,1,1,497862.31524453923,64.55417148272784,1.2275033350683209,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",275.989256618148,"[3.735771566993243e-06, 0.04780225453183199, 0.08860752147719028, 0.15845546238782918, 0.2817167140431523, 0.5047476250768623, 0.9004655501236647, 0.9977065187508014, 0.9989292546558163, 0.9995767126452816, 1.0, 1.4033523987488913e-05, 0.07337320252711667, 0.21915754302950408, 0.4843581247718301, 1.0, 0.7517045915827355, 0.4746873606742926, 0.2500906280126563, 1.4033524009340135e-05, 0.07337250670124804, 0.2191536981843306, 0.48255995365045024, 0.44113929705846106, 0.31509777928760674, 0.19741440850641054, 0.10445240850183342]"
9,13.06808610260121,1,1,6182.591111604156,11.34032676348476,1.384272871028183,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.0, 0.05200152667551433, 0.06958305652920088, 0.06861661654267551, 0.10587938996757057, 0.14719833195975726, 0.34717557425192785, 0.6335307405571224, 0.9937320655667516, 1.0, 0.9847369345227952, 0.0, 0.08204243623373902, 0.2532038863740381, 0.5034193556257738, 1.0, 0.8067061303616142, 0.6394247325985456, 0.37371835265666786, 0.04547208241085865, 0.0984500486540371, 0.26622371724088345, 0.49704779932686194, 0.4926250760730669, 0.4181252088086354, 0.2770368815990026, 0.21389348847764544]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",ligand dose response and DBD dose response,yes,"['e', 'b', 'k_bind', 'm', 'km', 'n']",283.64506740509364,"[3.136948247304786e-05, 0.010500290408629688, 0.022346522437185573, 0.046721760996976086, 0.09009284995112857, 0.16227409952457675, 0.2890805132436614, 0.5185434098795402, 0.9275482436310173, 0.9995902895896036, 1.0, 0.00032558705091190925, 0.12729006111316576, 0.36795363602820286, 0.6781744993908299, 1.0, 0.44872232308017335, 0.1729681400394939, 0.06371249382802716, 0.00032558705141887205, 0.12728661325872426, 0.36793785647386457, 0.6752325914054241, 0.45945575352694035, 0.1598166954340905, 0.06184494567327131, 0.023357178761304387]"
