,pem evaluation data1,pem evaluation data2,pem evaluation data3
0,0.020393486614821564,0.03920547817885865,0.06999153667120032
1,0.7229509211786315,0.792127229113001,0.7875947304581347
2,1.2419149376495073,1.2402061555221466,1.252931423665561
3,1.4560665423894381,1.4180870830405856,1.3918557628708403
4,1.5586741121676013,1.510374054145408,1.4976265463342642
5,0.020950334011285907,0.042316389163202794,0.0683815045578326
6,0.020662315609785424,0.04117530341504391,0.06873750899334742
7,0.8118891798779279,0.8753967748358555,1.1890466389642464
8,1.3320657490877972,1.4502080322142734,1.8630195073467337
9,1.7858576929279688,1.672886748113556,2.1903245476069393
10,1.8493482499714755,1.8266024347364465,2.36769913400436
11,2.1858634984710568,1.7603124557943726,2.3180527149803996
12,0.02064878848543579,0.035533536482958,0.06872743910740042
13,0.01950477526464873,0.04131095376573326,0.076484052745415
14,1.113150199439541,1.001222171884783,0.92807222731758
15,1.681595949167734,1.7867322783964688,1.389267645872658
16,2.113830000677625,1.9358641199624433,1.643276333958967
17,2.3867424140488187,2.052396824723348,1.7125570476575986
18,2.5490263270902425,2.003528598739244,1.8735667467475532
19,0.020607725781559796,0.04011015665115873,0.07787376554941733
