,pem evaluation data1,pem evaluation data2,pem evaluation data3
0,0.08157829816970265,0.04394501109869813,0.08391631232938208
1,0.7759097767943333,0.7893151399172343,0.7831524117277399
2,1.2452427514316102,1.2408119837153242,1.2494657653178864
3,1.4097514264429607,1.4203985622386315,1.3887573368224677
4,1.4875177471613932,1.5055293030301127,1.4947081738025239
5,0.08213514556616698,0.047055922083042274,0.08230628021601437
6,0.08305852848971677,0.04582814899731853,0.08177882175536362
7,0.9967585614661216,0.8231924596840613,0.7849455919791747
8,1.5365496835990866,1.372478823691127,1.228395110660528
9,1.9703059282500255,1.5824333077537924,1.4405741646623418
10,2.023695840128175,1.720329414055852,1.5605443068737683
11,2.355175193404431,1.6442311955407636,1.4822774374473133
12,0.08304500136536713,0.04018638206523262,0.08176875186941662
13,0.09738683654055875,0.04641690845438881,0.08488030751343456
14,1.1261282572985658,1.2513367424842108,1.113303764114885
15,1.560635679502802,2.2389974105013155,1.7063859134339807
16,1.8830299101327763,2.488954508233226,2.025999688262712
17,2.1010695961452304,2.641269954461139,2.12798644515238
18,2.2359952237543697,2.607531573585418,2.3053025983913593
19,0.09848978705746983,0.045216111339814284,0.08627002031743687
