x,y_raw,y_err_raw,y,y_err
0,15,3,0.000731493221496147,0.00014629864429923
2,974,200,0.0474982931824832,0.00975324295328197
5,3721,500,0.181459085145811,0.0243831073832049
10,6246,1000,0.304593777430996,0.0487662147664098
20,9406,1000,0.458695016092851,0.0487662147664098
50,14419,1500,0.703160050716863,0.0731493221496147
100,17494,2000,0.853116161123574,0.0975324295328197
200,20506,3000,1,0.146298644299229
