,fixed m,fixed m ppl,fixed m all parameters
74,23059.86770199998,7.502,"[15.10497, 1, 1, 23059.8677, 103.8311, 1.77941]"
75,23411.03319999998,7.505,"[15.10562, 1, 1, 23411.0332, 103.81527, 1.77961]"
76,23762.19869799998,7.509,"[15.10531, 1, 1, 23762.1987, 103.80489, 1.77925]"
77,24113.364195999977,7.512,"[15.10496, 1, 1, 24113.3642, 103.786, 1.77908]"
78,24464.529693999975,7.515,"[15.1031, 1, 1, 24464.52969, 103.80104, 1.77908]"
79,24815.695191999974,7.519,"[15.10447, 1, 1, 24815.69519, 103.77587, 1.7788]"
80,25166.860689999972,7.522,"[15.10505, 1, 1, 25166.86069, 103.79157, 1.77898]"
81,25518.02618799997,7.525,"[15.10204, 1, 1, 25518.02619, 103.7756, 1.77904]"
82,25869.19168599997,7.528,"[15.10374, 1, 1, 25869.19169, 103.7815, 1.77876]"
83,26220.357183999968,7.53,"[15.10432, 1, 1, 26220.35718, 103.78624, 1.77891]"
84,26571.522681999966,7.533,"[15.10474, 1, 1, 26571.52268, 103.78106, 1.77865]"
85,26922.688179999965,7.536,"[15.10749, 1, 1, 26922.68818, 103.76287, 1.77873]"
86,27273.853677999963,7.539,"[15.10526, 1, 1, 27273.85368, 103.79194, 1.77934]"
87,27625.01917599996,7.541,"[15.10488, 1, 1, 27625.01918, 103.77303, 1.77847]"
88,27976.18467399996,7.544,"[15.10128, 1, 1, 27976.18467, 103.82703, 1.77846]"
89,28327.35017199996,7.546,"[15.10166, 1, 1, 28327.35017, 103.78058, 1.77842]"
90,28678.515669999957,7.548,"[15.10451, 1, 1, 28678.51567, 103.78234, 1.77832]"
91,29029.681167999956,7.551,"[15.10512, 1, 1, 29029.68117, 103.76801, 1.77871]"
92,29380.846665999954,7.553,"[15.1046, 1, 1, 29380.84667, 103.8134, 1.77838]"
93,29732.012163999952,7.555,"[15.10394, 1, 1, 29732.01216, 103.75754, 1.77784]"
94,30083.17766199995,7.557,"[15.1055, 1, 1, 30083.17766, 103.76843, 1.77808]"
