,e,b,k_bind,m,km,n,x,exp_data,exp_error,chi_sq,normalized solutions
0,0.5859333732807102,1,1,307.26981075,4.057956154645597,1.9774947744610603,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",2043.3803,"[0.0008368290525912995, 0.0009144721986371056, 0.001052372960000227, 0.0014358035908092865, 0.002529105233321932, 0.005699522847341503, 0.015244461359220978, 0.045347522731508695, 0.14579384618724597, 0.44613618093518986, 1.0, 0.0073088240526657175, 0.3492091251044591, 1.0, 0.7250541253233388, 0.3684460616144443, 0.0971058183577702, 0.019408255844391046, 0.004182217967938059, 0.007308824064046091, 0.3488851131522823, 0.9978177458032189, 0.7473338652882183, 0.35897505790619316, 0.04651443377019094, 0.010002297383469697, 0.002334108031586451]"
1,12.466992687517479,1,1,307.26981075,377.5704758312354,2.14529581221312,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",1803.4098,"[0.23893259084600812, 0.24044768447460446, 0.24334178179627738, 0.25185487668827167, 0.27645747917912983, 0.32577468507242757, 0.41326397679796917, 0.5719851071487706, 0.8725870751493977, 0.9975681321154893, 1.0, 0.6932420844231183, 0.6954613380865315, 0.7090860288721255, 0.7633059442470088, 1.0, 0.9968322099223783, 0.9623196311100519, 0.8173874663728, 0.6932420855025468, 0.6954612319124093, 0.7090845682519934, 0.7624643952967612, 0.7627940020229689, 0.7560222811844713, 0.7259734867776035, 0.6121293289546333]"
2,0.15352166957101568,1,1,307.26981075,2.0895566166226693,2.579147498239038,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",2552.4173,"[0.009166808734348742, 0.00917090093674317, 0.009181761532147803, 0.00922204682840374, 0.009374651382105265, 0.009955699910439222, 0.012206006234085432, 0.021077289099145743, 0.057729190982230866, 0.21779667215911033, 1.0, 0.01302857406570931, 1.0, 0.6247920042133257, 0.2975313559820617, 0.10683749545209084, 0.007092915685630482, 0.0009161844552994529, 0.0001542509874632323, 0.013028574085995752, 0.9977760774419492, 0.630317568343238, 0.3101365170550929, 0.09346170020942134, 0.005311534104152937, 0.0007318053735988432, 0.00013036432555321218]"
3,1591.419063296109,1,1,307.26981075,81.69942128846922,1.6283313574328975,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",1984.0023,"[0.009468956791675595, 0.9975761638396776, 0.9982834625679458, 0.9987652202731571, 0.9991161023565589, 0.9993772071263816, 0.999575081713039, 0.9997258505476122, 0.9998420377620496, 0.9999310953101711, 1.0, 0.04427198188969786, 0.0692031763229127, 0.15413336601854913, 0.37596103504620804, 1.0, 0.8379828642089143, 0.5122059105191336, 0.21951143154715783, 0.04427198195863257, 0.06920316927900125, 0.1541333078910811, 0.37570675860400704, 0.3631183927397033, 0.2824392532585163, 0.16847573783055173, 0.07337114816182845]"
4,24.581939604139823,1,1,307.26981075,432.80640870521864,1.7009721943680618,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",997.8402,"[0.14162330126702943, 0.15403029305719768, 0.17116979674826582, 0.20888234941210768, 0.2768452458799893, 0.3975719303991973, 0.6199485160662787, 0.9859285050348019, 0.9973533605109781, 0.9990196234378204, 1.0, 0.4420174754154735, 0.45324384855761735, 0.4953425994808055, 0.6151692306574014, 1.0, 0.9903882273129464, 0.9436294303614122, 0.8065310146951082, 0.442017476103727, 0.4532436324725337, 0.49534064225608426, 0.614007117936786, 0.6138724626797052, 0.6034137776652779, 0.5723361663855964, 0.4875742219486634]"
5,5159.627817340981,1,1,307.26981075,3340.0229242338896,1.3977551596210753,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",4912.7804,"[0.6017172214136648, 0.9993752349345655, 0.9995387664500223, 0.9996607279271825, 0.9997539613026311, 0.9998252772158032, 0.9998802044742494, 0.9999224647171641, 0.9999552237239434, 0.9999804324309073, 1.0, 0.8453422049606261, 0.8515378332205853, 0.8676404104552987, 0.9040843276252062, 1.0, 0.9984770917207598, 0.9942049195645917, 0.982526186815506, 0.8453422062768856, 0.8515378325852289, 0.8676404072343729, 0.9040620949507996, 0.903767266216515, 0.9020732288026122, 0.8980184780270696, 0.8872707804840537]"
6,35.83418581119794,1,1,307.26981075,7.557218799406937,1.5371998349997296,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",808.5059,"[0.00029576865043625837, 0.04299088293177655, 0.08653060326564592, 0.1572860293288095, 0.2817068014917171, 0.5070426952202053, 0.9160813696016805, 0.9996219206923718, 0.9998336540159357, 0.9999366117520101, 1.0, 0.005541934305328523, 0.1540790650162674, 0.4449313988095538, 0.7570953581132723, 1.0, 0.3928510049536407, 0.12530087722313465, 0.039567316994284556, 0.00554193431395772, 0.1540775052928548, 0.444924970155433, 0.7556096650288183, 0.46541537376995307, 0.12064599445160969, 0.03915218253366131, 0.01288367995107533]"
7,0.26148997774996086,1,1,307.26981075,3.672693671892191,1.7279742960801663,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",2585.7038,"[0.003713514276828969, 0.003952425707806251, 0.004294219691490778, 0.00512103354084014, 0.007154741429827809, 0.012172452314895603, 0.024745948382959158, 0.056745920025675724, 0.14126778436211723, 0.3705229468743129, 1.0, 0.01534565969811757, 0.9375519655393284, 0.9971744646584254, 0.5962230753107344, 0.2989505167356129, 0.0718021965176067, 0.01875547137580514, 0.005135750059622187, 0.015345659722011884, 0.9346290567762128, 1.0, 0.6136952174075253, 0.27926990812384744, 0.04999872166594649, 0.013505370441927593, 0.0038451213347389054]"
8,600.5393185000072,1,1,307.26981075,60081.09240610906,1.2523751005271266,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",6027.0488,"[0.9686019999487536, 0.9997836238325473, 0.9998813252160563, 0.9999207426681401, 0.99994520638525, 0.9999621003200148, 0.9999744122045737, 0.9999835923415982, 0.999990578653736, 0.999995900546784, 1.0, 0.9898625632833721, 0.9904299437704674, 0.9916500605862395, 0.9941209298480581, 1.0, 0.9999267786396759, 0.9997422590127156, 0.9992884359615885, 0.9898625648246604, 0.9904299460429374, 0.9916500583512028, 0.9941166949440459, 0.9941003230043948, 0.9940103896252866, 0.9938209463690272, 0.9933634078991546]"
9,4.0589766377186685,1,1,307.26981075,5211.2679135511,2.0710380088889786,"[0.0, 1.0, 1.67, 2.78, 4.64, 7.74, 12.92, 21.54, 35.98, 59.95, 100.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0, 0.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0, 200.0]","[0.009270038284814, 0.0292366764878048, 0.027410541128376, 0.0541555969160702, 0.10655582090027, 0.173277238987572, 0.306469393785779, 0.570314169207501, 0.984267853629005, 0.982056074230162, 1.0, 0.0638571591009336, 0.0677002430053262, 0.118077959142827, 0.307391093488527, 1.0, 0.937719585251137, 0.62146167339914, 0.229602891247363, 0.0629968270386556, 0.0667593629795205, 0.110015820921355, 0.288356770860596, 0.298890142802435, 0.25897651543708, 0.170075594466736, 0.0742935853252696]","[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",6035.8066,"[0.988284513230833, 0.988288576197746, 0.9882953182412318, 0.9883140121134036, 0.9883671538933093, 0.9885186739544359, 0.9889506071501426, 0.9898737906684375, 0.9915126201902307, 0.9944582752517391, 1.0, 0.9976248414446138, 0.997645279393551, 0.9977612021805746, 0.9981977876798006, 0.9999913777824857, 1.0, 0.9998250218660868, 0.998990815245333, 0.9976248429979886, 0.9976452759523124, 0.9977611686883543, 0.9981855188092077, 0.9981939850566993, 0.9981485249825462, 0.9979501736237253, 0.9970677267371346]"
