,pem evaluation data1,pem evaluation data2,pem evaluation data3
0,0.013749487097939432,0.022989692321379502,0.0
1,0.0,0.06313449098642566,0.05200152667551433
2,0.05112983901413895,0.03227480726617427,0.06958305652920088
3,0.019438848628830826,0.0738882040386057,0.06861661654267551
4,0.04800029289215267,0.12527676735354584,0.10587938996757057
5,0.1652109814799477,0.20351558730751682,0.14719833195975726
6,0.2928041376859849,0.34549311884553974,0.34717557425192785
7,0.4855566887365702,0.7089612683222172,0.6335307405571224
8,0.9254699628061201,0.9317238777065745,0.9937320655667516
9,0.9033168437459136,1.0,1.0
10,1.0,0.9787523976333432,0.9847369345227952
11,0.032051595488695246,0.13582360170392302,0.0
12,0.044802009399409884,0.18800687772642857,0.08204243623373902
13,0.022247431349921996,0.2201755352529327,0.2532038863740381
14,0.27487846782512354,0.3709770252112012,0.5034193556257738
15,1.0,1.0,1.0
16,0.943012374886305,0.7746384731682928,0.8067061303616142
17,0.6748031761916253,0.3256228543441633,0.6394247325985456
18,0.3397682702164554,0.06353847545701573,0.37371835265666786
19,0.0,0.20283260557619495,0.04547208241085865
20,0.011433540861656854,0.2004761538251577,0.0984500486540371
21,0.06165190273525181,0.16452719290896473,0.26622371724088345
22,0.287353545060542,0.3757047162162772,0.49704779932686194
23,0.29749633939158715,0.3841040216503531,0.4926250760730669
24,0.2869517503531809,0.28775815151594775,0.4181252088086354
25,0.1583874914018168,0.10883001627201182,0.2770368815990026
26,0.0972741288212078,0.06094751525979518,0.21389348847764544
